,time,open,high,low,close,volume
140,2024-12-18,62.21,62.41,62.21,62.27,531269
141,2024-12-19,62.07,62.07,61.67,61.81,1870599
142,2024-12-20,61.81,62.14,61.74,61.87,1246769
143,2024-12-23,61.94,62.07,61.81,61.81,707967
144,2024-12-24,62.01,62.07,61.54,61.61,1025356
145,2024-12-25,61.67,62.74,61.67,61.81,1829185
146,2024-12-26,61.87,62.07,61.54,61.61,2203884
147,2024-12-27,61.87,62.21,61.67,61.67,1640901
148,2024-12-30,61.67,61.87,61.54,61.54,1707785
149,2024-12-31,61.67,61.81,61.0,61.0,2375289
150,2025-01-02,61.27,61.87,61.2,61.47,1631368
151,2025-01-03,61.47,61.81,61.47,61.54,1403040
152,2025-01-06,61.54,62.48,61.47,62.14,1938268
153,2025-01-07,62.34,62.34,61.74,61.74,1253566
154,2025-01-08,61.74,61.81,61.2,61.81,1054219
155,2025-01-09,61.54,61.67,61.34,61.47,739048
156,2025-01-10,61.47,61.81,61.14,61.14,1113334
157,2025-01-13,61.07,61.47,60.94,61.47,938736
158,2025-01-14,61.47,61.47,61.0,61.34,678628
159,2025-01-15,61.47,61.47,61.14,61.14,446062
160,2025-01-16,61.47,62.34,61.41,62.01,2461599
161,2025-01-17,62.01,62.21,61.67,61.87,1124326
162,2025-01-20,61.74,61.87,61.27,61.34,1763550
163,2025-01-21,61.61,61.61,61.07,61.14,1266355
164,2025-01-22,61.54,61.54,61.0,61.0,979719
165,2025-01-23,61.07,62.14,61.07,61.87,1686458
166,2025-01-24,61.61,62.21,61.61,61.94,945437
167,2025-02-03,61.74,61.81,61.27,61.27,1436966
168,2025-02-04,61.61,61.67,61.34,61.54,855942
169,2025-02-05,61.54,62.07,61.54,61.94,1346904
170,2025-02-06,62.07,62.48,62.01,62.14,1352924
171,2025-02-07,62.14,62.34,61.87,62.21,2262521
172,2025-02-10,62.14,62.14,61.47,61.67,2299299
173,2025-02-11,61.67,61.74,61.34,61.47,1040604
174,2025-02-12,61.47,61.87,61.2,61.2,1057688
175,2025-02-13,61.47,61.47,61.14,61.27,863094
176,2025-02-14,61.67,61.67,61.2,61.27,948437
177,2025-02-17,61.2,61.54,61.2,61.27,788528
178,2025-02-18,61.27,61.54,61.14,61.27,1067903
179,2025-02-19,61.27,61.34,61.07,61.34,1510842
180,2025-02-20,61.67,61.74,61.34,61.34,1638352
181,2025-02-21,61.61,62.27,61.61,62.27,2515484
182,2025-02-24,62.41,62.54,62.01,62.54,1957924
183,2025-02-25,62.54,62.61,61.87,61.94,1928951
184,2025-02-26,61.94,62.14,61.67,61.74,771099
185,2025-02-27,63.48,63.81,62.88,62.88,5035025
186,2025-02-28,63.01,63.01,62.41,62.41,2073877
187,2025-03-03,62.54,62.54,62.21,62.41,1252949
188,2025-03-04,62.34,62.48,62.01,62.21,2501823
189,2025-03-05,62.21,62.74,62.21,62.21,1822854
190,2025-03-06,62.54,63.01,62.34,62.54,2359429
191,2025-03-07,62.61,63.75,62.54,63.61,4003619
192,2025-03-10,64.48,65.15,64.28,64.75,4434646
193,2025-03-11,64.21,64.75,63.95,64.75,3644714
194,2025-03-12,66.0,68.6,65.6,66.7,7581491
195,2025-03-13,67.2,67.2,65.2,65.5,4514555
196,2025-03-14,65.4,66.8,65.4,66.0,4929265
197,2025-03-17,66.0,67.3,66.0,67.3,4946897
198,2025-03-18,67.8,67.8,66.8,66.8,3663486
199,2025-03-19,67.2,67.2,66.5,66.5,3679899
200,2025-03-20,66.5,67.0,66.2,66.8,1693378
201,2025-03-21,67.0,67.0,66.0,66.0,1707373
202,2025-03-24,66.3,66.5,65.5,66.5,1983215
203,2025-03-25,66.5,66.6,66.2,66.2,2028100
204,2025-03-26,66.4,66.6,65.8,65.8,1507400
205,2025-03-27,65.8,65.9,65.5,65.5,901500
206,2025-03-28,65.5,65.7,64.8,64.8,1650600
207,2025-03-31,64.7,65.2,64.0,64.0,1771900
208,2025-04-01,64.7,65.3,64.0,64.5,1715200
209,2025-04-02,65.0,66.0,64.6,64.8,2330700
210,2025-04-03,64.0,64.4,60.3,60.3,9806100
211,2025-04-04,56.7,60.0,56.2,60.0,11887700
212,2025-04-08,59.8,59.8,55.8,55.8,7181200
213,2025-04-09,52.0,59.7,52.0,52.5,8995800
214,2025-04-10,56.1,56.1,56.1,56.1,174400
215,2025-04-11,59.8,59.9,58.0,59.8,8059500
216,2025-04-14,60.0,60.0,58.7,59.3,3619500
217,2025-04-15,59.1,60.9,58.3,60.0,5633100
218,2025-04-16,59.7,60.3,59.0,59.3,2625800
219,2025-04-17,59.3,59.3,58.1,58.1,3151800
220,2025-04-18,58.7,59.6,58.1,58.1,2165400
221,2025-04-21,58.5,58.9,58.1,58.2,1290500
222,2025-04-22,58.1,58.8,54.7,58.5,3850700
223,2025-04-23,59.4,59.4,58.0,58.0,1928700
224,2025-04-24,58.2,58.6,58.0,58.2,1861200
225,2025-04-25,58.2,59.0,57.5,57.5,3682000
226,2025-04-28,57.7,58.3,57.5,57.5,1654600
227,2025-04-29,57.7,58.5,57.3,57.3,2432200
228,2025-05-05,57.5,58.0,57.0,57.1,2101500
229,2025-05-06,57.3,58.0,57.0,57.0,2992900
230,2025-05-07,57.1,57.5,57.0,57.0,2415400
231,2025-05-08,57.4,57.7,56.9,57.1,3022300
232,2025-05-09,57.3,57.6,56.6,56.6,5827400
233,2025-05-12,57.0,57.3,56.2,56.6,5992500
234,2025-05-13,57.1,57.3,56.6,56.8,7392600
235,2025-05-14,57.2,58.8,57.2,58.7,8014200
236,2025-05-15,59.3,59.8,58.7,58.7,8070600
237,2025-05-16,58.8,59.0,57.5,57.5,8364800
238,2025-05-19,57.4,57.6,57.0,57.0,4784400
239,2025-05-20,57.0,57.4,56.8,57.1,3867000
240,2025-05-21,57.5,57.9,57.0,57.1,5161800
241,2025-05-22,57.1,57.4,56.9,56.9,3694300
242,2025-05-23,56.9,57.5,56.7,56.8,3546500
243,2025-05-26,56.9,57.0,56.0,57.0,4728300
244,2025-05-27,56.8,57.2,56.7,56.8,5548900
245,2025-05-28,57.1,57.6,56.8,56.8,4950200
246,2025-05-29,57.2,57.2,56.7,56.7,3904500
247,2025-05-30,56.8,56.9,56.4,56.4,3934000
248,2025-06-02,56.5,56.5,56.1,56.2,3225700
